Programme   Degree  Department
Mgmt Stud (Corp Gov & Bus Eth)	Bachelor of Science	Business & Management
Microbiology	Bachelor of Science	Microbiology
Ministerial Studies	Bachelor of Arts	Theology
Molecular Biology	Bachelor of Science	Basic Medical Sciences
Music	Bachelor of Arts	Performing & Visual Arts
Music and Performance Studies	Bachelor of Arts	Institute of Caribbean Studies
Nursing	Bachelor of Science	School of Nursing
Nursing - Post RN	Bachelor of Science	School of Nursing
Nursing Administration	Certificate	School of Nursing
Occu & Env Safety & Health	Bachelor of Science	Chemistry
Operations Management	Bachelor of Science	Business & Management
Pharmacology	Bachelor of Basic Med Sciences	Basic Medical Sciences
Pharmacy	Doctor of Pharmacy	Basic Medical Sciences
Philosophy	Bachelor of Arts	Lang, Linguistics & Philosophy
Philosophy	Licentiate	Theology
Philosophy with Theology	Bachelor of Arts	Theology
Physical Therapy	Bachelor of Science	Physical Therapy
Physics	Bachelor of Science	Physics
Physics with Education	Bachelor of Science	Physics
Physiology	Bachelor of Basic Med Sciences	Basic Medical Sciences
Plant Biology	Bachelor of Science	Life Sciences
Pol Leadership, Strat & Mgmt	Bachelor of Science	Government
Political Science	Bachelor of Science	Government
Politics & International Coop	Bachelor of Science	Government
Population & Development	Diploma	Sociology, Psyc & Social Work
Population & Development	Undergraduate Diploma	Sociology, Psyc & Social Work
Psychology	Bachelor of Science	Sociology, Psyc & Social Work
Psychology	Undergraduate Diploma	Sociology, Psyc & Social Work
Public Administration	Bachelor of Science	Government
Public Policy & Management	Bachelor of Science	Government
Public Sector Management	Bachelor of Science	Government
Public Sector Management	Certificate	Government
School Librarianship	Bachelor of Education	Educational Studies
Science Education	Bachelor of Education	Educational Studies
Science Education	Bachelor of Education	School of Education
Science, Media & Communication	Bachelor of Science	Science & Tec
Secondary Education	Bachelor of Education	Educational Studies
Social Development Policy	Bachelor of Science	Sociology, Psyc & Social Work
Social Policy & Administration	Bachelor of Science	Sociology, Psyc & Social Work
Social Policy & Development	Bachelor of Science	Sociology, Psyc & Social Work
Social Psychology	Bachelor of Science	Sociology, Psyc & Social Work
Social Service	Certificate	Sociology, Psyc & Social Work
Social Studies/Geography Educ.	Bachelor of Education	Educational Studies
Social Work	Certificate	Sociology, Psyc & Social Work
Social Work	Undergraduate Diploma	Sociology, Psyc & Social Work
Social Work (Special)	Bachelor of Science	Sociology, Psyc & Social Work
Social Work (Special)	Diploma	Sociology, Psyc & Social Work
Sociology	Bachelor of Science	Sociology, Psyc & Social Work
Sociology	Undergraduate Diploma	Sociology, Psyc & Social Work
Sociology (Special)	Bachelor of Science	Sociology, Psyc & Social Work
Sociology (Special)	Diploma	Sociology, Psyc & Social Work
Software Eng-Mobile Appl Tech	Bachelor of Science	Computing
Software Engineering	Bachelor of Science	Computing
Spanish	Bachelor of Arts	Modern Languages & Literatures
Spanish & Education	Bachelor of Arts	Modern Languages & Literatures
Sport Coaching	Bachelor of Science	Academy of Sport
Statistical Science	Bachelor of Science	Mathematics
Statistics	Bachelor of Science	Economics
Terrestrial and Freshwater Eco	Bachelor of Science	Life Sciences
Theology	Bachelor of Arts	Theology
Theology	Licentiate	Theology
Tourism Management	Bachelor of Science	Business & Management
Tourism Management (Special)	Bachelor of Science	Centre for Hotel&Tourism Mgmt
Tourism Management (Special)	Bachelor of Science	Business & Management
Tropical Horticulture	Bachelor of Science	Life Sciences
Visual Arts	Bachelor of Arts	Performing & Visual Arts
Writing Literature Publishing	Bachelor of Arts	Literatures in English
Zoology	Bachelor of Science	Life Sciences
